CustomerID,Name,Region,JoinDate,LoyaltyPts,ContactMeth
1097,Laura Jones,EAST,12/7/2023,953,Phone
1098,Jeffrey Maxwell,West,1/27/2022,587,Phone
1099,Lori Howard,EAST,2/27/2021,127,Phone
1100,Michael Simon,EAST,12/27/2020,276,Email
1101,Ryan Martin,south-west,11/14/2020,449,Phone
1102,Robert Hansen,Central,11/19/2022,973,Phone
1103,Megan Chandler,East,6/25/2023,344,Email
1104,David Herrera,West,4/1/2021,157,Phone
1105,Taylor Clarke,Central,3/11/2023,258,Email
1106,Jennifer Ewing,east,5/16/2023,759,Phone
1107,Emily Hoffman,West,6/9/2023,246,Email
1108,Sharon Bautista,Central,7/31/2022,409,Phone
1109,Aaron Garcia,EAST,7/31/2023,97,Phone
1110,Melissa Grimes,South,3/14/2024,168,Email
1111,Ronald Chavez,south-west,6/24/2021,972,Email
1112,Joseph Flores,East,4/3/2021,380,Email
1113,Louis Jones,Central,7/4/2021,432,Email
1114,Grace Price,South,3/25/2022,516,Email
1115,Gina Banks,West,9/16/2023,380,Email
1116,Melissa Rivera,Central,10/25/2021,249,Phone
1117,Amanda Lang,North,4/14/2024,262,Email
1118,Briana Alvarado,South,3/18/2022,653,Phone
1119,Cameron Hernandez,east,8/8/2022,272,Email
1120,Daniel Meyer,South,3/15/2024,87,Phone
1121,Stephanie Garrison,East,8/21/2020,261,Phone
1122,Christopher Martinez,east,10/7/2021,317,Phone
1123,Colleen Greene,south-west,8/21/2022,509,Phone
1124,Megan Novak,East,12/19/2022,5,Phone
1125,Debbie Andrews,West,5/22/2021,776,Email
1126,Lee Luna,east,1/19/2021,794,Email
1127,George Edwards,Central,5/12/2023,131,Phone
1128,Vincent Day,North,7/3/2022,128,Email
1129,Karina Jones,East,11/5/2023,326,Email
1130,Mary Sandoval,North,10/6/2020,671,Phone
1131,Mark Gomez,West,6/11/2020,30,Email
1132,Scott Winters,West,9/20/2022,827,Phone
1133,Victor Wagner,south-west,6/12/2021,735,Phone
1134,Joseph Aguilar,West,12/5/2023,394,Email
1135,Christopher Chen,South,9/10/2023,920,Email
1136,Scott Hernandez,South,2/9/2024,751,Phone
1137,Jessica Harmon,south-west,11/5/2022,316,Email
1138,Bonnie Stewart,South,4/19/2022,766,Email
1139,Heather Olson,Central,4/20/2021,567,Phone
1140,Carla Flores,EAST,9/30/2020,340,Email
1141,David Palmer,North,9/16/2022,585,Phone
1142,Marvin Hamilton,North,4/23/2022,405,Phone
1143,Miss Chelsea Castro DDS,Central,2/23/2021,700,Email
1144,Brian Browning,EAST,5/3/2023,642,Email
1145,Stephanie Powell,east,2/3/2023,857,Phone
1146,Jonathan Andrade,south-west,6/7/2020,838,Email
1147,William Palmer,south-west,8/14/2023,745,Phone
1148,Dean Allison,West,6/23/2021,540,Email
1149,Jordan Elliott,North,5/13/2020,68,Email
1150,Bobby Hunter,North,12/6/2020,385,Phone
1151,Sabrina Lester,West,7/16/2022,963,Phone
1152,Thomas Garcia,east,9/14/2022,469,Phone
1153,Michelle Martinez,East,7/31/2023,469,Phone
1154,Edward Castillo,North,10/1/2020,468,Email
1155,Rachel Goodman,North,4/10/2023,170,Email
1156,Dennis Acevedo,East,6/18/2023,475,Phone
1157,Cheryl Wu,West,12/10/2021,531,Phone
1158,Kelly Gallagher,East,3/2/2024,568,Email
1159,Kelli Smith,North,1/28/2022,423,Phone
1160,Phillip Soto,West,4/21/2023,288,Email
1161,David Ellis,East,1/2/2023,611,Phone
1162,Deborah Rice,east,1/14/2022,374,Email
1163,Elizabeth Vaughn,West,5/1/2023,163,Phone
1164,William Ramsey,North,5/4/2023,673,Phone
1165,Richard Burnett,Central,7/24/2022,592,Email
1166,David Mccullough,south-west,12/15/2021,739,Phone
1167,Terry Frederick,North,12/20/2021,262,Email
1168,Denise Gonzales,South,5/2/2022,720,Email
1169,Michael Edwards,south-west,9/26/2023,735,Phone
1170,Eric Davis,North,10/15/2023,64,Email
1171,Ronald Marquez,south-west,4/21/2024,816,Email
1172,Eric Barr,EAST,2/1/2023,806,Email
1173,David King MD,North,9/14/2022,169,Phone
1174,Deborah Saunders,West,12/25/2021,15,Phone
1175,Teresa Lopez,West,10/20/2021,58,Email
1176,Ashley Williams,EAST,11/24/2021,425,Phone
1177,Katherine West,east,11/1/2020,977,Phone
1178,Katherine Kerr,EAST,11/13/2020,664,Email
1179,Desiree Miller,EAST,12/21/2021,302,Email
1180,Jennifer Smith,south-west,10/3/2020,491,Phone
1181,Tiffany Smith,East,4/7/2024,986,Email
1182,James Gray,West,7/24/2020,562,Email
1183,Kenneth Graves,East,5/8/2020,300,Email
1184,Brittney Chen,EAST,7/20/2023,316,Email
1185,Cameron Levine,east,7/26/2021,928,Email
1186,Timothy Williams,West,9/28/2021,163,Phone
1187,Kayla Solomon,North,6/10/2022,948,Email
1188,Ashley Todd,North,9/4/2023,714,Email
1189,Jennifer Farrell,North,11/18/2022,120,Email
1190,Elizabeth Robinson,south-west,12/27/2023,348,Email
1191,Kyle Smith Jr.,South,10/31/2023,735,Phone
1192,Gregory Medina,EAST,6/6/2020,53,Phone
1193,Nancy King,South,5/23/2022,858,Email
1194,Casey Brown,Central,2/9/2024,952,Email
1195,Michael Lee,south-west,8/22/2023,263,Phone
1196,Dr. Elizabeth Johnston DDS,North,2/9/2022,369,Phone
1197,William Wilson,West,4/4/2023,666,Email
1198,Chris Allen,south-west,10/11/2022,965,Phone
1199,James Cooley,West,7/23/2020,579,Phone
1005,Jessica Mora,South,8/5/2021,326,Email
